Id,indegree,outdegree,Degree
Analysis I und Lineare Algebra für Ingenieurwissenschaften,46,0,46
Algorithmen und Datenstrukturen,34,1,35
Stochastik für Informatik,27,1,28
Rechnernetze und Verteilte Systeme,27,3,30
Bachelor,27,0,27
Machine Learning 1,23,2,25
Systemprogrammierung,20,1,21
Network Architectures - Basics,19,2,21
Einführung in die Programmierung,18,0,18
Rechnerorganisation,18,0,18
Softwaretechnik und Programmierparadigmen,18,2,20
Diskrete Strukturen,16,2,18
Logik,13,2,15
Formale Sprachen und Automaten,12,0,12
Berechenbarkeit und Komplexität,12,1,13
Signale und Systeme,11,0,11
Informationssysteme und Datenanalyse,11,0,11
Machine Intelligence I,11,2,13
Verteilte Systeme,8,2,10
Wissenschaftliches Rechnen,7,1,8
Robotics,7,1,8
DMH Data Management on Modern Hardware,6,3,9
DBPRA Datenbankpraktikum,6,1,7
Kommunikationsnetze,6,1,7
Rechnernetze und Verteile Systeme,6,0,6
Digital Image Processing,6,0,6
Analysis II,5,0,5
DBT Database Technology,5,2,7
Lichttechnik: Grundlagen und Anwendungen,5,0,5
Einführung in die Lichttechnik,5,0,5
Algorithmentheorie,5,2,7
Cloud Computing,5,1,6
Integraltransformationen und partielle Differentialgleichungen für Ingenieurwissenschaften,5,0,5
Webtechnologien,4,1,5
Verteile Systeme,4,0,4
Digitale Systeme,4,0,4
Analysis II für Ingenieurwissenschaften,4,0,4
Computer Graphics I (Fundamentals),4,1,5
Grundlagen der Rechnersicherheit,4,3,7
Einführung in die Lineare und Kombinatorische Optimierung (ADM I),3,0,3
Grundlagen der Elektrotechnik (GLET),3,0,3
Nachrichtenübertragung,3,0,3
Mikroprozessortechnik,3,0,3
Automatic Image Analysis,3,1,4
Photogrammetric Computer Vision,3,1,4
Anwendungssysteme,3,0,3
Applied Computer Vision,3,0,3
Machine Learning for Computer Security,3,0,3
Adversarial Machine Learning,3,1,4
Numerische Lineare Algebra I,2,0,2
Numerische Lineare Algebra II,2,0,2
MDS Management of Data Streams,2,1,3
Quality Assurance of Embedded Systems,2,1,3
Advanced Algorithmics,2,2,4
Reaktive Systeme,2,3,5
Architektur Eingebetteter Systeme,2,5,7
Analog- und Digitalelektronik,2,0,2
Digitale Nachrichtenübertragung,2,2,4
Foundations of Stochastic Processes,2,3,5
Analysis und Lineare Algebra für Ingenieurwissenschaften,2,0,2
Kognitive Algorithmen,2,1,3
Machine Learning 2,2,3,5
